[Result Details],,,,,,,,,,,,,,,,,,,,,,,,,,
Result Name,[80.78] FSAE Aero Pwr90%, FSAE Endurance Germany 2012,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,10/11/2016 10:10,,,,,,,,,,,,,,,,,,,,,,,,,
Track,FSAE Endurance Germany 2012,,,,,,,,,,,,,,,,,,,,,,,,,
Track Configuration,Closed Circuit,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,FSAE Aero,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
35.58157402,0.741922271,9,-14.65487362,-3.959437624,1,13,5577.18061,44.37742381,34.75692499,79.01372957,52.67581971,0,0,24.51594373,-6.665968129,1,36.20078433,1.5,1.4,-40.97171644,-13.50811626,-0.685063063,7.519801816,5.104323477,0,2727.71373
35.21730486,0.767733028,9.25,-14.6828392,-3.746518391,1,13,5520.083786,44.43909147,34.44890262,77.40419233,51.60279489,0,0,23.0503257,-6.517742365,1,35.78375504,1.5,1.4,-43.07499172,-13.72471312,-0.87877977,7.775929972,5.13626195,0,2726.104192
34.86918316,0.793780989,9.5,-14.72895964,-3.386219677,1,13,5465.517969,44.49802549,34.15361023,75.88148074,50.58765383,0,0,20.53547788,-6.369516602,1,35.36239006,1.5,1.4,-45.22749564,-14.27463738,-2.210842247,8.032956537,5.158769926,0,2724.581481
34.55164833,0.819863401,9.75,-14.80648719,-0.486035723,1,13,5415.746447,44.55178143,33.88347535,74.50575004,49.67050003,0,0,0,-6.221290838,1,34.93653131,1.5,1.4,-47.43166329,-14.06746815,0.831775508,8.290531645,5.171602493,0,2723.20575
34.50601118,0.845945813,10,-15.12782811,0,1,13,5408.593121,44.5595074,33.84458892,74.30905992,49.53937328,0,4.983918153,0,-6.073065075,1,34.50601118,1.5,1.4,-49.83017629,-13.94107268,0.507472315,8.548279297,5.174517623,0,2723.00906
34.46037404,0.872028225,10.25,-13.61808787,-0.486035723,1,13,5401.439796,44.56723338,33.80568697,74.11262977,49.40841984,100,98.1238627,0,-6.728509047,1,36.3754774,1.4,1.5,-51.9965498,-12.93673138,4.032386847,8.805766513,5.166648318,0,2722.81263
34.99260154,0.898145179,10.5,-12.67016483,5.660728013,1,13,5484.863,44.47713182,34.25840256,76.41959165,50.94639443,36.98584364,98.06154373,0,-7.457018094,1,38.35889831,1.4,1.5,-53.9442342,-12.23578973,2.8105283,9.062617999,5.149061835,0,2725.119592
35.66323582,0.923864902,10.75,-11.98918982,7.242974655,1,13,5589.980566,44.36359917,34.82584169,79.37682803,52.91788536,20.54228045,97.98137784,0,-8.18552714,1,40.25720232,1.4,1.5,-55.64574666,-11.52031448,2.91311047,9.318574868,5.122771166,0,2728.076828
36.40406281,0.949100974,11,-12.46453007,8.154409844,1,13,5706.100386,44.23818349,35.44877601,82.70884568,55.13923046,10.87301713,97.89067867,0,-8.203870551,1,40.30400891,1.4,1.5,-57.36301964,-11.36689434,0.636633135,9.57350425,5.088909855,0,2731.408846
37.07778695,0.973823489,11.25,-12.61662741,7.56984434,1,13,5811.702267,44.12412776,36.01173466,85.79853232,57.19902155,16.56934471,97.80622646,0,-8.407741101,1,40.82114206,1.4,1.5,-59.03908208,-11.27983474,0.368767474,9.827162428,5.04744734,0,2734.498532
